WineName,Vintage,VineyardName,Country,Region,Type,Size(ml),Varietal,Critic,Rating,Price,CatalogueRemark,VivinoRating,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,Gentle-Fizzy,NumVivinoRaters,NumReviews,VivinoRemarks,VivinoURL,VivinoPrice,VivinoRetailer,VivinoAvailableVintage,On-PremiseExclusive,Organic and/Or Bio-dynamic,Natural Winemaking,Sustainable Winegrowing,No Preservative
Nuits-Saint-Georges 1er Cru Aux Boudots,2016,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,93,215,,4.1,1,5,9,5,,,28,,https://www.vivino.com/jean-jacques-confuron-nuits-st-georges-1er-cru-aux-boudots/w/53354?year=2016,$278.00,Vini Vino,2016,N,Y,N,N,N
Vosne Romanee 1er Cru Les Beaux-Monts,2016,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,92,225,,4.2,2,5,8,4,,,16,,https://www.vivino.com/jean-jacques-confuron-vosne-romanee-1er-cru-les-beaux-monts/w/53284?year=2016,,,,N,Y,N,N,N
Vosne Romanee 1er Cru Les Beaux-Monts,2017,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,,,237,,4.2,2,5,8,4,,,16,,https://www.vivino.com/jean-jacques-confuron-vosne-romanee-1er-cru-les-beaux-monts/w/53284?year=2017,,,,N,Y,N,N,N
Clos de Vougeou Grand Cru,2014,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,93,280,,4.3,3,5,8,4,,25,54,Oldest vintage available. Cheapest vintage available,https://www.vivino.com/jean-jacques-confuron-clos-vougeot-grand-cru/w/53304?year=2014,$276.00,Vini Vino,2014,N,Y,N,N,N
Clos de Vougeou Grand Cru *Limited,2015,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,94,280,Limited,4.5,3,5,8,4,,14,54,Good value for money. Similar wines usually cost 67% more. This vintage rates better than any other year for this wine,https://www.vivino.com/jean-jacques-confuron-clos-vougeot-grand-cru/w/53304?year=2015,$345.00,Vini Vino,2015,N,Y,N,N,N
Clos de Vougeou Grand Cru *Limited,2016,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,94,290,Limited,4.3,3,5,8,4,,,54,Latest vintage available,https://www.vivino.com/jean-jacques-confuron-clos-vougeot-grand-cru/w/53304?year=2016,$355.00,Vini Vino,2016,N,Y,N,N,N
Clos de Vougeou Grand Cru,2017,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,91,304,,4.3,3,5,8,4,,,54,,https://www.vivino.com/jean-jacques-confuron-clos-vougeot-grand-cru/w/53304?year=2017,$355.00,Vini Vino,2016,N,Y,N,N,N
Romanee Saint-Vivant Grand Cru,2014,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,93,735,,4.5,2,5,8,4,,15,64,,https://www.vivino.com/jean-jacques-confuron-romanee-saint-vivant-grand-cru/w/53274?year=2014,"$1,038.00",Vini Vino,2015,N,Y,N,N,N
Romanee Saint-Vivant Grand Cru,2015,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,95,735,,4.4,2,5,8,4,,,64,,https://www.vivino.com/jean-jacques-confuron-romanee-saint-vivant-grand-cru/w/53274?year=2015,"$1,038.00",Vini Vino,2015,N,Y,N,N,N
Romanee Saint-Vivant Grand Cru,2017,Domaine Jean-Jacques Confuron,France,Burgundy,Red,750,Pinot Noir,BH,92,853,,4.4,2,5,8,4,,,64,,https://www.vivino.com/jean-jacques-confuron-romanee-saint-vivant-grand-cru/w/53274?year=2017,"$1,038.00",Vini Vino,2015,N,Y,N,Y,N
Macon Village,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,87,49,,3.6,2,4,5,,,159,98,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-villages/w/1101279?year=2016,$65.00,Vini Vino,2016,N,Y,N,Y,N
Macon Village,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,97,49,,3.6,2,4,5,,,133,98,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-villages/w/1101279?year=2017,$65.00,Vini Vino,2016,N,Y,N,Y,N
Macon Milly-Lamartine,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,88,56,,3.9,2,5,5,,,247,137,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-milly-lamartine/w/1101278?year=2015,,,,N,Y,N,Y,N
Macon Milly-Lamartine,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,56,,3.8,2,5,5,,,254,137,Popular among Vivino users. More than 200 ratings. Oldest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-milly-lamartine/w/1101278?year=2016,,,,N,Y,N,Y,N
Macon Milly-Lamartine,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,56,,4,2,5,5,,,120,137,Great value for money. Similar wines usually cost 2 times as much. Among top 4% of all wines in the world,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-milly-lamartine/w/1101278?year=2017,,,,N,Y,N,Y,N
Macon Prisse,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,88,56,,3.9,3,5,5,,,52,14,Popular among Vivino users. More than 50 ratings,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-prisse/w/4266321?year=2015,,,,N,Y,N,Y,N
Macon Prisse,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,88,56,,4,3,5,5,,,33,14,This vintage rates better than any other year for this wine,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-prisse/w/4266321?year=2016,,,,N,Y,N,Y,N
Macon Prisse,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,88,56,,3.8,3,5,5,,,28,14,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-prisse/w/4266321?year=2017,,,,N,Y,N,Y,N
"Macon Bussieres, Le Monsard",2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,63,,4,2,5,4,,,35,18,This vintage rates better than any other year for this wine,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-le-monsard-macon-bussieres/w/1684584?year=2016,,,,N,Y,N,Y,N
"Macon Bussieres, Le Monsard",2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,63,,3.9,2,5,4,,,16,18,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-le-monsard-macon-bussieres/w/1684584?year=2017,,,,N,Y,N,Y,N
"Macon Uchizy, ""Les Maranches""",2014,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,63,,3.7,2,5,4,,,133,81,Popular among Vivino users. More than 100 ratings. Oldest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2014,$82.00,Vini Vino,2014,N,Y,N,Y,N
"Macon Uchizy, ""Les Maranches""",2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,88,63,,3.9,2,5,4,,,118,81,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2015,$82.00,Vini Vino,2015,N,Y,N,Y,N
"Macon Uchizy, ""Les Maranches""",2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,63,,3.7,2,5,4,,,120,81,Latest vintage available. Cheapest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2016,$82.00,Vini Vino,2016,N,Y,N,Y,N
"Macon Uchizy, ""Les Maranches""",2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,63,,3.9,2,5,4,,,57,81,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2017,$82.00,Vini Vino,2016,N,Y,N,Y,N
"Macon Milly-Lamartine, ""Clos du Four""",2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,67,,4,3,5,5,,,77,52,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-du-four-macon-milly-lamartine/w/1212329?year=2015,,,,N,Y,N,Y,N
"Macon Milly-Lamartine, ""Clos du Four""",2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,67,,4,3,5,5,,,87,52,Among top 4% of all wines in the world,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-du-four-macon-milly-lamartine/w/1212329?year=2016,,,,N,Y,N,Y,N
"Macon Milly-Lamartine, ""Clos du Four""",2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,67,,4.2,3,5,5,,,27,52,This vintage rates better than any other year for this wine,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-du-four-macon-milly-lamartine/w/1212329?year=2017,,,,N,Y,N,Y,N
"Macon Chardonnay, ""Clos de la Crochette""",2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,63,,3.9,2,5,4,,,127,75,Popular among Vivino users. More than 100 ratings. Oldest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-de-la-crochette-macon-chardonnay/w/79938?year=2015,$88.00,Vini Vino,2015,N,Y,N,Y,N
"Macon Chardonnay, ""Clos de la Crochette""",2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,63,,3.9,2,5,4,,,118,75,Latest vintage available. Cheapest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-de-la-crochette-macon-chardonnay/w/79938?year=2016,$88.00,Vini Vino,2016,N,Y,N,Y,N
"Macon Chardonnay, ""Clos de la Crochette""",2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,70,,3.9,2,5,4,,,67,75,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-de-la-crochette-macon-chardonnay/w/79938?year=2017,$88.00,Vini Vino,2017,N,Y,N,Y,N
Saint Veran AOC,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,70,,4,2,6,5,,,51,20,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-saint-veran/w/4076832?year=2015,,,,N,Y,N,Y,N
Saint Veran AOC,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,91,70,,4,2,6,5,,,46,20,This vintage rates better than any other year for this wine,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-saint-veran/w/4076832?year=2016,,,,N,Y,N,Y,N
Saint Veran AOC,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,89,70,,3.7,2,6,5,,,33,20,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-saint-veran/w/4076832?year=2017,,,,N,Y,N,Y,N
Vire Clesse AOC,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,70,,4.1,,,,,,190,,Among top 2% of all wines in the world. Oldest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-vire-clesse/w/1224996?year=2015,,,,N,Y,N,Y,N
Vire Clesse AOC,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,91,70,,4,,,,,,183,,Latest vintage available. Cheapest vintage available,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-vire-clesse/w/1224996?year=2016,,,,N,Y,N,Y,N
Vire Clesse AOC,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,90,86,,3.9,,,,,,89,,,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-vire-clesse/w/1224996?year=2017,,,,N,Y,N,Y,N
Pouilly Fuisse Blanc *Limited,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,91,86,Limited,,,,,,,,,,,,,,N,Y,N,Y,N
Pouilly Fuisse Blanc,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,91,86,,,,,,,,,,,,,,,N,Y,N,Y,N
Pouilly Fuisse Blanc,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,,,86,,,,,,,,,,,,,,,N,Y,N,Y,N
Montrachet Grand Cru *Limited,2013,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,,,2160,Limited,4.7,3,8,6,,,,41,,https://www.vivino.com/fr-domaine-des-comtes-lafon-montrachet-grand-cru/w/79939?year=2013,"$2,999.00",Vini Vino,2014,N,Y,N,Y,N
Montrachet Grand Cru *Limited,2015,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,92,2350,Limited,4.7,3,8,6,,,,41,Latest vintage available,https://www.vivino.com/fr-domaine-des-comtes-lafon-montrachet-grand-cru/w/79939?year=2015,"$3,088.00",Vini Vino,2015,N,Y,N,Y,N
Meursault-Charmes 1er Cru,2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,,,327,,4.1,3,8,6,,,18,203,,https://www.vivino.com/fr-domaine-des-comtes-lafon-meursault-charmes-premier-cru/w/1171334?year=2016,$378.00,Vini Vino,2015,N,Y,N,Y,N
"Meursault-Charmes 1er Cru, Goutte d'Or",2016,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,BH,94,325,,,,,,,,,,,,,,,N,Y,N,Y,N
Meursault Perrieres 1er Cru,2017,Comtes Lafon,France,Burgundy & Macon,White,750,Chardonnay,,,365,,4.5,2,7,6,,,,77,,https://www.vivino.com/fr-domaine-des-comtes-lafon-meursault-perrieres-premier-cru/w/1756803?year=2017,,,,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru *Limited,2012,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,93,223,,4,2,4,8,3,,74,174,,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-santenots-du-milieu-premier-cru/w/79929?year=2012,$288.00,Vini Vino,2013,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru,2013,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,91,230,,4.2,2,4,8,3,,90,174,Oldest vintage available. Cheapest vintage available,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-santenots-du-milieu-premier-cru/w/79929?year=2013,$288.00,Vini Vino,2013,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru,2014,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,92,230,,4.3,2,4,8,3,,61,174,,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-santenots-du-milieu-premier-cru/w/79929?year=2014,$299.00,Vini Vino,2014,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru,2015,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,95,250,,4.4,2,4,8,3,,78,174,This vintage rates better than any other year for this wine.  Latest vintage available,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-santenots-du-milieu-premier-cru/w/79929?year=2015,$299.00,Vini Vino,2015,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru,2016,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,94,252,,4.3,2,4,8,3,,14,174,,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-santenots-du-milieu-premier-cru/w/79929?year=2016,$299.00,Vini Vino,2015,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru - Magnum *Limited,2012,Comtes Lafon,France,Burgundy & Macon,Red,1500,Pinot Noir,BH,93,485,Limited,,,,,,,,,,,,,,N,Y,N,Y,N
Volnay Santenots-du-Milieu 1er Cru - Magnum *Limited,2013,Comtes Lafon,France,Burgundy & Macon,Red,1500,Pinot Noir,BH,91,485,Limited,,,,,,,,,,,,,,N,Y,N,Y,N
Volnay Champans Volnay 1er Cru *Limited,2015,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,94,250,Limited,4.2,2,4,8,3,,,31,,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-champans-premier-cru/w/79933?year=2015,$328.00,Vini Vino,2015,N,Y,N,Y,N
Volnay Champans Volnay 1er Cru *Limited,2016,Comtes Lafon,France,Burgundy & Macon,Red,750,Pinot Noir,BH,93,253,Limited,4.2,2,4,8,3,,,13,,https://www.vivino.com/fr-domaine-des-comtes-lafon-volnay-champans-premier-cru/w/79933?year=2016,$328.00,Vini Vino,2015,N,Y,N,Y,N
Les Baronnes Sancerre Blanc,2018,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,10,,4,1,3,8,,,815,552,,https://www.vivino.com/henri-bourgeois-sancerre-les-baronnes-blanc/w/17660?year=2018,$68.00,Vini Vino,2017,Y,N,N,N,N
La Bourgeoise Sancerre Blanc,2014,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,65,,4.1,1,3,8,,,402,188,Among top 2% of all wines in the world,https://www.vivino.com/henri-bourgeois-sancerre-la-bourgeoise-blanc/w/1478314?year=2014,$83.00,Vini Vino,2015,N,N,N,N,N
La Bourgeoise Sancerre Blanc,2015,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,66,,4,1,3,8,,,584,188,Popular among Vivino users. More than 500 ratings,https://www.vivino.com/henri-bourgeois-sancerre-la-bourgeoise-blanc/w/1478314?year=2015,$83.00,Vini Vino,2015,N,N,N,N,N
La Bourgeoise Sancerre Blanc,2016,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,66,,4.1,1,3,8,,,213,188,,https://www.vivino.com/henri-bourgeois-sancerre-la-bourgeoise-blanc/w/1478314?year=2016,$83.00,Vini Vino,2015,N,N,N,N,N
En Travertin Pouilly-Fume,2017,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,RP,90,50,,4,1,3,8,,,391,184,Among top 3% of all wines in the world,https://www.vivino.com/henri-bourgeois-pouilly-fume-en-travertin/w/1126219?year=2017,$68.00,Vini Vino,2017,Y,N,N,N,N
En Travertin Pouilly-Fume,2018,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,RP,90,50,,4,1,3,8,,,169,184,,https://www.vivino.com/henri-bourgeois-pouilly-fume-en-travertin/w/1126219?year=2018,$68.00,Vini Vino,2017,Y,N,N,N,N
La demoiselle de Bourgeois Pouilly-Fume,2015,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,66,,4.2,2,3,8,,,257,82,Among top 1% of all wines in the world,https://www.vivino.com/henri-bourgeois-pouilly-fume-la-demoiselle-de-bourgeois/w/1126220?year=2015,$82.00,Vini Vino,2015,N,N,N,N,N
Sancerre Jadis Sancerre Blanc,2013,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,78,,3.9,2,3,8,,,113,78,,https://www.vivino.com/henri-bourgeois-sancerre-jadis/w/17665?year=2013,$96.00,Vini Vino,2013,N,N,N,N,N
Sancerre d'Antan Sancerre Blanc,2016,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,82,,4.3,1,3,8,,,205,92,Among top 1% of all wines in the world,https://www.vivino.com/henri-bourgeois-sancerre-d-antan/w/17666?year=2016,$102.00,Vini Vino,2016,N,N,N,N,N
Etienne Henri Sancerre Blanc *Limited,2014,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,RP,91,86,,3.9,1,3,8,,,52,33,,https://www.vivino.com/henri-bourgeois-sancerre-etienne-henri/w/1640835?year=2014,$105.00,Vini Vino,2014,N,N,N,N,N
"Sancerre  Blanc ""Les Cotes Aux Valets""",2015,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,100,,4.2,1,3,8,,,42,11,This vintage rates better than any other year for this wine. Popular among Vivino users. More than 40 ratings,https://www.vivino.com/henri-bourgeois-les-cotes-aux-valets-sancerre-blanc-waeff6/w/6301836?year=2015,$123.00,Vini Vino,2015,N,N,N,N,N
"Sancerre Blanc ""Les Ruchons""",2015,Henri Bourgeois,France,Loire,White,750,Savignon Blanc,,,100,,4.5,1,3,8,,,87,10,This vintage rates better than any other year for this wine. Popular among Vivino users. More than 40 ratings,https://www.vivino.com/henri-bourgeois-les-ruchons-sancerre-blanc/w/6251697?year=2015,$123.00,Vini Vino,2015,N,N,N,N,N
Viognier Blanc,2016,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Viognier,,,33,,3.5,,,,,,92,,,https://www.vivino.com/maison-les-alexandrins-viognier/w/5773567?year=2016,,,,N,N,N,Y,N
Viognier Blanc,2018,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Viognier,,,33,,3.8,,,,,,87,,This vintage rates better than any other year for this wine. Among top 9% of all wines in the world,https://www.vivino.com/maison-les-alexandrins-viognier/w/5773567?year=2018,,,,N,N,N,Y,N
Cotes-du-Rhone Blanc,2017,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Grenache Blanc Blend,,,33,,3.7,1,7,6,,,,,,https://www.vivino.com/maison-les-alexandrins-terrasses-de-leridan-cotes-du-rhone-blanc/w/6026873?year=2017,,,,N,N,N,Y,N
Cotes-du-Rhone Blanc,2018,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Grenache Blanc Blend,,,33,,3.7,1,7,6,,,,,,https://www.vivino.com/maison-les-alexandrins-terrasses-de-leridan-cotes-du-rhone-blanc/w/6026873?year=2018,,,,N,N,N,Y,N
"Nicolas Perrin
Crozes Hermitage Blanc",2014,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Marsanne & Roussanne,,,47,,3.9,2,6,4,,,63,16,This vintage rates better than any other year for this wine. Popular among Vivino users. More than 60 ratings,https://www.vivino.com/nicolas-perrin-crozes-hermitage-blanc/w/2261907?year=2014,$64.00,Vini Vino,2014,N,N,N,Y,N
"Maison Alexandrins
Crozes Hermitage Blanc",2017,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Marsanne & Roussanne,,,47,,3.9,2,7,3,,,25,5,Popular among Vivino users. More than 20 ratings,https://www.vivino.com/maison-les-alexandrins-crozes-hermitage-blanc/w/6446768?year=2017,,,,N,N,N,Y,N
"Maison Alexandrins
Crozes Hermitage Blanc",2018,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Marsanne & Roussanne,,,49,,3.9,2,7,3,,,,5,,https://www.vivino.com/maison-les-alexandrins-crozes-hermitage-blanc/w/6446768?year=2018,,,,N,N,N,Y,N
Nicolas Perrin Condrieu,2015,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Viognier,,,87,,4.1,2,9,3,,,49,18,,https://www.vivino.com/nicolas-perrin-condrieu/w/1493281?year=2015,,,,N,N,N,Y,N
Alexandrins Condrieu,2016,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Viognier,RP,91,87,,4.1,2,9,3,,,101,7,This vintage rates better than any other year for this wine. Popular among Vivino users. More than 100 ratings,https://www.vivino.com/maison-les-alexandrins-condrieu/w/5944006?year=2016,$118.00,Vini Vino,2016,N,N,N,Y,N
Nicolas Perrin hermitage Blanc,2011,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Marsanne & Roussanne,,,88,,,,,,,,,,,,,Vini Vino,,N,N,N,Y,N
Hermitage Blanc,2016,Domaine & Maison Les Alexandrins,France,Rhone,White,750,Marsanne & Roussanne,,,91,,3.5,2,7,3,,,,0,,https://www.vivino.com/maison-les-alexandrins-hermitage-blanc/w/6445697?year=2016,,,,N,N,N,Y,N
Cotes-du-Rhone Rouge,2017,Domaine & Maison Les Alexandrins,France,Rhone,,750,G.S.M. Blend,,,33,,,,,,,,,,,,,Vini Vino,,N,N,N,Y,N
Crozes Hermitage Rouge,2017,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,RP,92,47,,3.8,2,8,6,6,,219,76,,https://www.vivino.com/maison-les-alexandrins-crozes-hermitage-rouge/w/2497608?year=2017,$63.00,Vini Vino,2017,N,N,N,Y,N
Crozes Hermitage Rouge - Magnum,2015,Domaine & Maison Les Alexandrins,France,Rhone,Red,1500,Syrah,JS,91,92,,,,,,,,,,,,,,,N,N,N,Y,N
Crozes Hermitage Rouge - Jeroboam,2015,Domaine & Maison Les Alexandrins,France,Rhone,Red,3000,Syrah,JS,92,230,,,,,,,,,,,,,,,N,N,N,Y,N
Saint Joseph Rouge,2016,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,RP,90,52,,3.7,2,9,7,6,,66,9,Popular among Vivino users. More than 60 ratings,https://www.vivino.com/maison-les-alexandrins-saint-joseph/w/6445693?year=2016,,,,N,N,N,Y,N
Saint Joseph Rouge - Magnum,2016,Domaine & Maison Les Alexandrins,France,Rhone,Red,1500,Syrah,RP,90,96,,,,,,,,,,,,,Vini Vino,,N,N,N,N,N
Cote Rotie,2017,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,JS,92,93,,4.3,2,9,8,8,,17,5,,https://www.vivino.com/maison-les-alexandrins-cote-rotie/w/5873482?year=2017,,,,N,N,N,N,N
Nicholas Perrin Ermitage *Limited,2011,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,,,115,Limited,,,,,,,,,,,,,,N,N,N,Y,N
Nicholas Perrin Ermitage,2013,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,,,115,,,,,,,,,,,,,,,N,N,N,Y,N
Hermitage Rouge,2015,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,,,108,,3.6,,,,,,,,,https://www.vivino.com/maison-les-alexandrins-hermitage-rouge/w/6445696?year=2015,,,,N,N,N,Y,N
Crozes Hermitage Rouge,2015,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,JS,90,49,,3.8,2,7,6,6,,387,76,Popular among Vivino users. More than 300 ratings,https://www.vivino.com/maison-les-alexandrins-crozes-hermitage-rouge/w/2497608?year=2015,$63.00,Vini Vino,2017,N,N,N,Y,N
Saint Joseph Rouge,2016,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,RP,90,59,,3.7,2,9,7,6,,66,9,Popular among Vivino users. More than 60 ratings,https://www.vivino.com/maison-les-alexandrins-saint-joseph/w/6445693?year=2016,,,,N,N,N,Y,N
Saint Joseph Rouge,2017,Domaine & Maison Les Alexandrins,France,Rhone,Red,750,Syrah,,,60,,3.8,2,9,7,6,,27,9,,https://www.vivino.com/maison-les-alexandrins-saint-joseph/w/6445693?year=2017,,,,N,N,N,Y,N
"Condrieu ""Vernillon""",2016,Domaine Jamet,France,Rhone,White,750,Viognier,JS,93,157,,4.1,4,9,3,,,41,16,Good value for money. Similar wines usually cost 57% more. This vintage rates better than any other year for this wine,https://www.vivino.com/jamet-jean-paul-condrieu-vernillon/w/5154591?year=2016,,,,N,N,N,N,N
"Condrieu ""Vernillon""",2017,Domaine Jamet,France,Rhone,White,750,Viognier,,,148,,4,4,9,3,,,16,16,Latest vintage available. Cheapest vintage available,https://www.vivino.com/jamet-jean-paul-condrieu-vernillon/w/5154591?year=2017,,,,N,N,N,N,N
Cotes-du-Rhone Rouge,2017,Domaine Jamet,France,Rhone,Red,750,Syrah,,,62,,3.9,2,7,7,6,,149,,Good value for money. Similar wines usually cost 89% more. Latest vintage available,https://www.vivino.com/jamet-jean-paul-cotes-du-rhone-rouge/w/76259?year=2017,,,,N,N,N,N,N
IGP Collines Rhodaniennes Rouge,2016,Domaine Jamet,France,Rhone,Red,750,Syrah,,,48,,,,,,,,,,,,,,,N,N,N,N,N
IGP Collines Rhodaniennes Rouge,2017,Domaine Jamet,France,Rhone,Red,750,Syrah,,,48,,,,,,,,,,,,,,,N,N,N,N,N
